Input.OBJECT_NAME,Input.QUESTION_1,Input.QUESTION_2,Input.QUESTION_3,Input.QUESTION_4,Input.QUESTION_5,Input.QUESTION_6,Input.QUESTION_7,Input.QUESTION_8,Input.QUESTION_9,Input.QUESTION_10,Input.QUESTION_11,Input.QUESTION_12,Input.QUESTION_13,Input.QUESTION_14
bench,What color(s) are a typical bench?,What shape is a typical bench?,Where is a bench usually found?,What is the typical texture of a bench?,What material is a bench usually made of?,What pattern (if any) is common on a bench?,In what scenarios is a bench typically used?,In what contexts do bench appear?,What is the typical function of a bench?,What is the typical disposition of a bench?,What is the typical length of a bench (in cm)?,What is the typical width of a bench (in cm)?,What is the typical height of a bench (in cm)?,What is the typical weight of a bench (in kg)?
bird,What color(s) are a typical bird?,What shape is a typical bird?,Where is a bird usually found?,What is the typical texture of a bird?,What material is a bird usually made of?,What pattern (if any) is common on a bird?,In what scenarios is a bird typically used?,In what contexts do bird appear?,What is the typical function of a bird?,What is the typical disposition of a bird?,What is the typical length of a bird (in cm)?,What is the typical width of a bird (in cm)?,What is the typical height of a bird (in cm)?,What is the typical weight of a bird (in kg)?
cat,What color(s) are a typical cat?,What shape is a typical cat?,Where is a cat usually found?,What is the typical texture of a cat?,What material is a cat usually made of?,What pattern (if any) is common on a cat?,In what scenarios is a cat typically used?,In what contexts do cat appear?,What is the typical function of a cat?,What is the typical disposition of a cat?,What is the typical length of a cat (in cm)?,What is the typical width of a cat (in cm)?,What is the typical height of a cat (in cm)?,What is the typical weight of a cat (in kg)?
dog,What color(s) are a typical dog?,What shape is a typical dog?,Where is a dog usually found?,What is the typical texture of a dog?,What material is a dog usually made of?,What pattern (if any) is common on a dog?,In what scenarios is a dog typically used?,In what contexts do dog appear?,What is the typical function of a dog?,What is the typical disposition of a dog?,What is the typical length of a dog (in cm)?,What is the typical width of a dog (in cm)?,What is the typical height of a dog (in cm)?,What is the typical weight of a dog (in kg)?
horse,What color(s) are a typical horse?,What shape is a typical horse?,Where is a horse usually found?,What is the typical texture of a horse?,What material is a horse usually made of?,What pattern (if any) is common on a horse?,In what scenarios is a horse typically used?,In what contexts do horse appear?,What is the typical function of a horse?,What is the typical disposition of a horse?,What is the typical length of a horse (in cm)?,What is the typical width of a horse (in cm)?,What is the typical height of a horse (in cm)?,What is the typical weight of a horse (in kg)?
sheep,What color(s) are a typical sheep?,What shape is a typical sheep?,Where is a sheep usually found?,What is the typical texture of a sheep?,What material is a sheep usually made of?,What pattern (if any) is common on a sheep?,In what scenarios is a sheep typically used?,In what contexts do sheep appear?,What is the typical function of a sheep?,What is the typical disposition of a sheep?,What is the typical length of a sheep (in cm)?,What is the typical width of a sheep (in cm)?,What is the typical height of a sheep (in cm)?,What is the typical weight of a sheep (in kg)?
cow,What color(s) are a typical cow?,What shape is a typical cow?,Where is a cow usually found?,What is the typical texture of a cow?,What material is a cow usually made of?,What pattern (if any) is common on a cow?,In what scenarios is a cow typically used?,In what contexts do cow appear?,What is the typical function of a cow?,What is the typical disposition of a cow?,What is the typical length of a cow (in cm)?,What is the typical width of a cow (in cm)?,What is the typical height of a cow (in cm)?,What is the typical weight of a cow (in kg)?
elephant,What color(s) are a typical elephant?,What shape is a typical elephant?,Where is a elephant usually found?,What is the typical texture of a elephant?,What material is a elephant usually made of?,What pattern (if any) is common on a elephant?,In what scenarios is a elephant typically used?,In what contexts do elephant appear?,What is the typical function of a elephant?,What is the typical disposition of a elephant?,What is the typical length of a elephant (in cm)?,What is the typical width of a elephant (in cm)?,What is the typical height of a elephant (in cm)?,What is the typical weight of a elephant (in kg)?
bear,What color(s) are a typical bear?,What shape is a typical bear?,Where is a bear usually found?,What is the typical texture of a bear?,What material is a bear usually made of?,What pattern (if any) is common on a bear?,In what scenarios is a bear typically used?,In what contexts do bear appear?,What is the typical function of a bear?,What is the typical disposition of a bear?,What is the typical length of a bear (in cm)?,What is the typical width of a bear (in cm)?,What is the typical height of a bear (in cm)?,What is the typical weight of a bear (in kg)?
zebra,What color(s) are a typical zebra?,What shape is a typical zebra?,Where is a zebra usually found?,What is the typical texture of a zebra?,What material is a zebra usually made of?,What pattern (if any) is common on a zebra?,In what scenarios is a zebra typically used?,In what contexts do zebra appear?,What is the typical function of a zebra?,What is the typical disposition of a zebra?,What is the typical length of a zebra (in cm)?,What is the typical width of a zebra (in cm)?,What is the typical height of a zebra (in cm)?,What is the typical weight of a zebra (in kg)?
giraffe,What color(s) are a typical giraffe?,What shape is a typical giraffe?,Where is a giraffe usually found?,What is the typical texture of a giraffe?,What material is a giraffe usually made of?,What pattern (if any) is common on a giraffe?,In what scenarios is a giraffe typically used?,In what contexts do giraffe appear?,What is the typical function of a giraffe?,What is the typical disposition of a giraffe?,What is the typical length of a giraffe (in cm)?,What is the typical width of a giraffe (in cm)?,What is the typical height of a giraffe (in cm)?,What is the typical weight of a giraffe (in kg)?
backpack,What color(s) are a typical backpack?,What shape is a typical backpack?,Where is a backpack usually found?,What is the typical texture of a backpack?,What material is a backpack usually made of?,What pattern (if any) is common on a backpack?,In what scenarios is a backpack typically used?,In what contexts do backpack appear?,What is the typical function of a backpack?,What is the typical disposition of a backpack?,What is the typical length of a backpack (in cm)?,What is the typical width of a backpack (in cm)?,What is the typical height of a backpack (in cm)?,What is the typical weight of a backpack (in kg)?
umbrella,What color(s) are a typical umbrella?,What shape is a typical umbrella?,Where is a umbrella usually found?,What is the typical texture of a umbrella?,What material is a umbrella usually made of?,What pattern (if any) is common on a umbrella?,In what scenarios is a umbrella typically used?,In what contexts do umbrella appear?,What is the typical function of a umbrella?,What is the typical disposition of a umbrella?,What is the typical length of a umbrella (in cm)?,What is the typical width of a umbrella (in cm)?,What is the typical height of a umbrella (in cm)?,What is the typical weight of a umbrella (in kg)?
handbag,What color(s) are a typical handbag?,What shape is a typical handbag?,Where is a handbag usually found?,What is the typical texture of a handbag?,What material is a handbag usually made of?,What pattern (if any) is common on a handbag?,In what scenarios is a handbag typically used?,In what contexts do handbag appear?,What is the typical function of a handbag?,What is the typical disposition of a handbag?,What is the typical length of a handbag (in cm)?,What is the typical width of a handbag (in cm)?,What is the typical height of a handbag (in cm)?,What is the typical weight of a handbag (in kg)?
tie,What color(s) are a typical tie?,What shape is a typical tie?,Where is a tie usually found?,What is the typical texture of a tie?,What material is a tie usually made of?,What pattern (if any) is common on a tie?,In what scenarios is a tie typically used?,In what contexts do tie appear?,What is the typical function of a tie?,What is the typical disposition of a tie?,What is the typical length of a tie (in cm)?,What is the typical width of a tie (in cm)?,What is the typical height of a tie (in cm)?,What is the typical weight of a tie (in kg)?
suitcase,What color(s) are a typical suitcase?,What shape is a typical suitcase?,Where is a suitcase usually found?,What is the typical texture of a suitcase?,What material is a suitcase usually made of?,What pattern (if any) is common on a suitcase?,In what scenarios is a suitcase typically used?,In what contexts do suitcase appear?,What is the typical function of a suitcase?,What is the typical disposition of a suitcase?,What is the typical length of a suitcase (in cm)?,What is the typical width of a suitcase (in cm)?,What is the typical height of a suitcase (in cm)?,What is the typical weight of a suitcase (in kg)?
frisbee,What color(s) are a typical frisbee?,What shape is a typical frisbee?,Where is a frisbee usually found?,What is the typical texture of a frisbee?,What material is a frisbee usually made of?,What pattern (if any) is common on a frisbee?,In what scenarios is a frisbee typically used?,In what contexts do frisbee appear?,What is the typical function of a frisbee?,What is the typical disposition of a frisbee?,What is the typical length of a frisbee (in cm)?,What is the typical width of a frisbee (in cm)?,What is the typical height of a frisbee (in cm)?,What is the typical weight of a frisbee (in kg)?
skis,What color(s) are a typical skis?,What shape is a typical skis?,Where is a skis usually found?,What is the typical texture of a skis?,What material is a skis usually made of?,What pattern (if any) is common on a skis?,In what scenarios is a skis typically used?,In what contexts do skis appear?,What is the typical function of a skis?,What is the typical disposition of a skis?,What is the typical length of a skis (in cm)?,What is the typical width of a skis (in cm)?,What is the typical height of a skis (in cm)?,What is the typical weight of a skis (in kg)?
snowboard,What color(s) are a typical snowboard?,What shape is a typical snowboard?,Where is a snowboard usually found?,What is the typical texture of a snowboard?,What material is a snowboard usually made of?,What pattern (if any) is common on a snowboard?,In what scenarios is a snowboard typically used?,In what contexts do snowboard appear?,What is the typical function of a snowboard?,What is the typical disposition of a snowboard?,What is the typical length of a snowboard (in cm)?,What is the typical width of a snowboard (in cm)?,What is the typical height of a snowboard (in cm)?,What is the typical weight of a snowboard (in kg)?
sports ball,What color(s) are a typical sports ball?,What shape is a typical sports ball?,Where is a sports ball usually found?,What is the typical texture of a sports ball?,What material is a sports ball usually made of?,What pattern (if any) is common on a sports ball?,In what scenarios is a sports ball typically used?,In what contexts do sports ball appear?,What is the typical function of a sports ball?,What is the typical disposition of a sports ball?,What is the typical length of a sports ball (in cm)?,What is the typical width of a sports ball (in cm)?,What is the typical height of a sports ball (in cm)?,What is the typical weight of a sports ball (in kg)?
kite,What color(s) are a typical kite?,What shape is a typical kite?,Where is a kite usually found?,What is the typical texture of a kite?,What material is a kite usually made of?,What pattern (if any) is common on a kite?,In what scenarios is a kite typically used?,In what contexts do kite appear?,What is the typical function of a kite?,What is the typical disposition of a kite?,What is the typical length of a kite (in cm)?,What is the typical width of a kite (in cm)?,What is the typical height of a kite (in cm)?,What is the typical weight of a kite (in kg)?
baseball bat,What color(s) are a typical baseball bat?,What shape is a typical baseball bat?,Where is a baseball bat usually found?,What is the typical texture of a baseball bat?,What material is a baseball bat usually made of?,What pattern (if any) is common on a baseball bat?,In what scenarios is a baseball bat typically used?,In what contexts do baseball bat appear?,What is the typical function of a baseball bat?,What is the typical disposition of a baseball bat?,What is the typical length of a baseball bat (in cm)?,What is the typical width of a baseball bat (in cm)?,What is the typical height of a baseball bat (in cm)?,What is the typical weight of a baseball bat (in kg)?
baseball glove,What color(s) are a typical baseball glove?,What shape is a typical baseball glove?,Where is a baseball glove usually found?,What is the typical texture of a baseball glove?,What material is a baseball glove usually made of?,What pattern (if any) is common on a baseball glove?,In what scenarios is a baseball glove typically used?,In what contexts do baseball glove appear?,What is the typical function of a baseball glove?,What is the typical disposition of a baseball glove?,What is the typical length of a baseball glove (in cm)?,What is the typical width of a baseball glove (in cm)?,What is the typical height of a baseball glove (in cm)?,What is the typical weight of a baseball glove (in kg)?
skateboard,What color(s) are a typical skateboard?,What shape is a typical skateboard?,Where is a skateboard usually found?,What is the typical texture of a skateboard?,What material is a skateboard usually made of?,What pattern (if any) is common on a skateboard?,In what scenarios is a skateboard typically used?,In what contexts do skateboard appear?,What is the typical function of a skateboard?,What is the typical disposition of a skateboard?,What is the typical length of a skateboard (in cm)?,What is the typical width of a skateboard (in cm)?,What is the typical height of a skateboard (in cm)?,What is the typical weight of a skateboard (in kg)?
surfboard,What color(s) are a typical surfboard?,What shape is a typical surfboard?,Where is a surfboard usually found?,What is the typical texture of a surfboard?,What material is a surfboard usually made of?,What pattern (if any) is common on a surfboard?,In what scenarios is a surfboard typically used?,In what contexts do surfboard appear?,What is the typical function of a surfboard?,What is the typical disposition of a surfboard?,What is the typical length of a surfboard (in cm)?,What is the typical width of a surfboard (in cm)?,What is the typical height of a surfboard (in cm)?,What is the typical weight of a surfboard (in kg)?
tennis racket,What color(s) are a typical tennis racket?,What shape is a typical tennis racket?,Where is a tennis racket usually found?,What is the typical texture of a tennis racket?,What material is a tennis racket usually made of?,What pattern (if any) is common on a tennis racket?,In what scenarios is a tennis racket typically used?,In what contexts do tennis racket appear?,What is the typical function of a tennis racket?,What is the typical disposition of a tennis racket?,What is the typical length of a tennis racket (in cm)?,What is the typical width of a tennis racket (in cm)?,What is the typical height of a tennis racket (in cm)?,What is the typical weight of a tennis racket (in kg)?
bottle,What color(s) are a typical bottle?,What shape is a typical bottle?,Where is a bottle usually found?,What is the typical texture of a bottle?,What material is a bottle usually made of?,What pattern (if any) is common on a bottle?,In what scenarios is a bottle typically used?,In what contexts do bottle appear?,What is the typical function of a bottle?,What is the typical disposition of a bottle?,What is the typical length of a bottle (in cm)?,What is the typical width of a bottle (in cm)?,What is the typical height of a bottle (in cm)?,What is the typical weight of a bottle (in kg)?
wine glass,What color(s) are a typical wine glass?,What shape is a typical wine glass?,Where is a wine glass usually found?,What is the typical texture of a wine glass?,What material is a wine glass usually made of?,What pattern (if any) is common on a wine glass?,In what scenarios is a wine glass typically used?,In what contexts do wine glass appear?,What is the typical function of a wine glass?,What is the typical disposition of a wine glass?,What is the typical length of a wine glass (in cm)?,What is the typical width of a wine glass (in cm)?,What is the typical height of a wine glass (in cm)?,What is the typical weight of a wine glass (in kg)?
cup,What color(s) are a typical cup?,What shape is a typical cup?,Where is a cup usually found?,What is the typical texture of a cup?,What material is a cup usually made of?,What pattern (if any) is common on a cup?,In what scenarios is a cup typically used?,In what contexts do cup appear?,What is the typical function of a cup?,What is the typical disposition of a cup?,What is the typical length of a cup (in cm)?,What is the typical width of a cup (in cm)?,What is the typical height of a cup (in cm)?,What is the typical weight of a cup (in kg)?
fork,What color(s) are a typical fork?,What shape is a typical fork?,Where is a fork usually found?,What is the typical texture of a fork?,What material is a fork usually made of?,What pattern (if any) is common on a fork?,In what scenarios is a fork typically used?,In what contexts do fork appear?,What is the typical function of a fork?,What is the typical disposition of a fork?,What is the typical length of a fork (in cm)?,What is the typical width of a fork (in cm)?,What is the typical height of a fork (in cm)?,What is the typical weight of a fork (in kg)?
knife,What color(s) are a typical knife?,What shape is a typical knife?,Where is a knife usually found?,What is the typical texture of a knife?,What material is a knife usually made of?,What pattern (if any) is common on a knife?,In what scenarios is a knife typically used?,In what contexts do knife appear?,What is the typical function of a knife?,What is the typical disposition of a knife?,What is the typical length of a knife (in cm)?,What is the typical width of a knife (in cm)?,What is the typical height of a knife (in cm)?,What is the typical weight of a knife (in kg)?
spoon,What color(s) are a typical spoon?,What shape is a typical spoon?,Where is a spoon usually found?,What is the typical texture of a spoon?,What material is a spoon usually made of?,What pattern (if any) is common on a spoon?,In what scenarios is a spoon typically used?,In what contexts do spoon appear?,What is the typical function of a spoon?,What is the typical disposition of a spoon?,What is the typical length of a spoon (in cm)?,What is the typical width of a spoon (in cm)?,What is the typical height of a spoon (in cm)?,What is the typical weight of a spoon (in kg)?
bowl,What color(s) are a typical bowl?,What shape is a typical bowl?,Where is a bowl usually found?,What is the typical texture of a bowl?,What material is a bowl usually made of?,What pattern (if any) is common on a bowl?,In what scenarios is a bowl typically used?,In what contexts do bowl appear?,What is the typical function of a bowl?,What is the typical disposition of a bowl?,What is the typical length of a bowl (in cm)?,What is the typical width of a bowl (in cm)?,What is the typical height of a bowl (in cm)?,What is the typical weight of a bowl (in kg)?
banana,What color(s) are a typical banana?,What shape is a typical banana?,Where is a banana usually found?,What is the typical texture of a banana?,What material is a banana usually made of?,What pattern (if any) is common on a banana?,In what scenarios is a banana typically used?,In what contexts do banana appear?,What is the typical function of a banana?,What is the typical disposition of a banana?,What is the typical length of a banana (in cm)?,What is the typical width of a banana (in cm)?,What is the typical height of a banana (in cm)?,What is the typical weight of a banana (in kg)?
apple,What color(s) are a typical apple?,What shape is a typical apple?,Where is a apple usually found?,What is the typical texture of a apple?,What material is a apple usually made of?,What pattern (if any) is common on a apple?,In what scenarios is a apple typically used?,In what contexts do apple appear?,What is the typical function of a apple?,What is the typical disposition of a apple?,What is the typical length of a apple (in cm)?,What is the typical width of a apple (in cm)?,What is the typical height of a apple (in cm)?,What is the typical weight of a apple (in kg)?
sandwich,What color(s) are a typical sandwich?,What shape is a typical sandwich?,Where is a sandwich usually found?,What is the typical texture of a sandwich?,What material is a sandwich usually made of?,What pattern (if any) is common on a sandwich?,In what scenarios is a sandwich typically used?,In what contexts do sandwich appear?,What is the typical function of a sandwich?,What is the typical disposition of a sandwich?,What is the typical length of a sandwich (in cm)?,What is the typical width of a sandwich (in cm)?,What is the typical height of a sandwich (in cm)?,What is the typical weight of a sandwich (in kg)?
orange,What color(s) are a typical orange?,What shape is a typical orange?,Where is a orange usually found?,What is the typical texture of a orange?,What material is a orange usually made of?,What pattern (if any) is common on a orange?,In what scenarios is a orange typically used?,In what contexts do orange appear?,What is the typical function of a orange?,What is the typical disposition of a orange?,What is the typical length of a orange (in cm)?,What is the typical width of a orange (in cm)?,What is the typical height of a orange (in cm)?,What is the typical weight of a orange (in kg)?
broccoli,What color(s) are a typical broccoli?,What shape is a typical broccoli?,Where is a broccoli usually found?,What is the typical texture of a broccoli?,What material is a broccoli usually made of?,What pattern (if any) is common on a broccoli?,In what scenarios is a broccoli typically used?,In what contexts do broccoli appear?,What is the typical function of a broccoli?,What is the typical disposition of a broccoli?,What is the typical length of a broccoli (in cm)?,What is the typical width of a broccoli (in cm)?,What is the typical height of a broccoli (in cm)?,What is the typical weight of a broccoli (in kg)?
carrot,What color(s) are a typical carrot?,What shape is a typical carrot?,Where is a carrot usually found?,What is the typical texture of a carrot?,What material is a carrot usually made of?,What pattern (if any) is common on a carrot?,In what scenarios is a carrot typically used?,In what contexts do carrot appear?,What is the typical function of a carrot?,What is the typical disposition of a carrot?,What is the typical length of a carrot (in cm)?,What is the typical width of a carrot (in cm)?,What is the typical height of a carrot (in cm)?,What is the typical weight of a carrot (in kg)?
hot dog,What color(s) are a typical hot dog?,What shape is a typical hot dog?,Where is a hot dog usually found?,What is the typical texture of a hot dog?,What material is a hot dog usually made of?,What pattern (if any) is common on a hot dog?,In what scenarios is a hot dog typically used?,In what contexts do hot dog appear?,What is the typical function of a hot dog?,What is the typical disposition of a hot dog?,What is the typical length of a hot dog (in cm)?,What is the typical width of a hot dog (in cm)?,What is the typical height of a hot dog (in cm)?,What is the typical weight of a hot dog (in kg)?
pizza,What color(s) are a typical pizza?,What shape is a typical pizza?,Where is a pizza usually found?,What is the typical texture of a pizza?,What material is a pizza usually made of?,What pattern (if any) is common on a pizza?,In what scenarios is a pizza typically used?,In what contexts do pizza appear?,What is the typical function of a pizza?,What is the typical disposition of a pizza?,What is the typical length of a pizza (in cm)?,What is the typical width of a pizza (in cm)?,What is the typical height of a pizza (in cm)?,What is the typical weight of a pizza (in kg)?
donut,What color(s) are a typical donut?,What shape is a typical donut?,Where is a donut usually found?,What is the typical texture of a donut?,What material is a donut usually made of?,What pattern (if any) is common on a donut?,In what scenarios is a donut typically used?,In what contexts do donut appear?,What is the typical function of a donut?,What is the typical disposition of a donut?,What is the typical length of a donut (in cm)?,What is the typical width of a donut (in cm)?,What is the typical height of a donut (in cm)?,What is the typical weight of a donut (in kg)?
cake,What color(s) are a typical cake?,What shape is a typical cake?,Where is a cake usually found?,What is the typical texture of a cake?,What material is a cake usually made of?,What pattern (if any) is common on a cake?,In what scenarios is a cake typically used?,In what contexts do cake appear?,What is the typical function of a cake?,What is the typical disposition of a cake?,What is the typical length of a cake (in cm)?,What is the typical width of a cake (in cm)?,What is the typical height of a cake (in cm)?,What is the typical weight of a cake (in kg)?
chair,What color(s) are a typical chair?,What shape is a typical chair?,Where is a chair usually found?,What is the typical texture of a chair?,What material is a chair usually made of?,What pattern (if any) is common on a chair?,In what scenarios is a chair typically used?,In what contexts do chair appear?,What is the typical function of a chair?,What is the typical disposition of a chair?,What is the typical length of a chair (in cm)?,What is the typical width of a chair (in cm)?,What is the typical height of a chair (in cm)?,What is the typical weight of a chair (in kg)?
couch,What color(s) are a typical couch?,What shape is a typical couch?,Where is a couch usually found?,What is the typical texture of a couch?,What material is a couch usually made of?,What pattern (if any) is common on a couch?,In what scenarios is a couch typically used?,In what contexts do couch appear?,What is the typical function of a couch?,What is the typical disposition of a couch?,What is the typical length of a couch (in cm)?,What is the typical width of a couch (in cm)?,What is the typical height of a couch (in cm)?,What is the typical weight of a couch (in kg)?
potted plant,What color(s) are a typical potted plant?,What shape is a typical potted plant?,Where is a potted plant usually found?,What is the typical texture of a potted plant?,What material is a potted plant usually made of?,What pattern (if any) is common on a potted plant?,In what scenarios is a potted plant typically used?,In what contexts do potted plant appear?,What is the typical function of a potted plant?,What is the typical disposition of a potted plant?,What is the typical length of a potted plant (in cm)?,What is the typical width of a potted plant (in cm)?,What is the typical height of a potted plant (in cm)?,What is the typical weight of a potted plant (in kg)?
bed,What color(s) are a typical bed?,What shape is a typical bed?,Where is a bed usually found?,What is the typical texture of a bed?,What material is a bed usually made of?,What pattern (if any) is common on a bed?,In what scenarios is a bed typically used?,In what contexts do bed appear?,What is the typical function of a bed?,What is the typical disposition of a bed?,What is the typical length of a bed (in cm)?,What is the typical width of a bed (in cm)?,What is the typical height of a bed (in cm)?,What is the typical weight of a bed (in kg)?
dining table,What color(s) are a typical dining table?,What shape is a typical dining table?,Where is a dining table usually found?,What is the typical texture of a dining table?,What material is a dining table usually made of?,What pattern (if any) is common on a dining table?,In what scenarios is a dining table typically used?,In what contexts do dining table appear?,What is the typical function of a dining table?,What is the typical disposition of a dining table?,What is the typical length of a dining table (in cm)?,What is the typical width of a dining table (in cm)?,What is the typical height of a dining table (in cm)?,What is the typical weight of a dining table (in kg)?
toilet,What color(s) are a typical toilet?,What shape is a typical toilet?,Where is a toilet usually found?,What is the typical texture of a toilet?,What material is a toilet usually made of?,What pattern (if any) is common on a toilet?,In what scenarios is a toilet typically used?,In what contexts do toilet appear?,What is the typical function of a toilet?,What is the typical disposition of a toilet?,What is the typical length of a toilet (in cm)?,What is the typical width of a toilet (in cm)?,What is the typical height of a toilet (in cm)?,What is the typical weight of a toilet (in kg)?
tv,What color(s) are a typical tv?,What shape is a typical tv?,Where is a tv usually found?,What is the typical texture of a tv?,What material is a tv usually made of?,What pattern (if any) is common on a tv?,In what scenarios is a tv typically used?,In what contexts do tv appear?,What is the typical function of a tv?,What is the typical disposition of a tv?,What is the typical length of a tv (in cm)?,What is the typical width of a tv (in cm)?,What is the typical height of a tv (in cm)?,What is the typical weight of a tv (in kg)?
