WorkerId,Input.object_name,Input.object_description,Answer.colour,Answer.disposition,Answer.function,Answer.height_mean,Answer.height_range,Answer.height_unit_cm.centimeters,Answer.height_unit_f.feet,Answer.height_unit_i.inches,Answer.height_unit_m.meters,Answer.height_unit_mm.millimeters,Answer.height_unit_na.na,Answer.length_mean,Answer.length_range,Answer.length_unit_cm.centimeters,Answer.length_unit_f.feet,Answer.length_unit_i.inches,Answer.length_unit_m.meters,Answer.length_unit_mm.millimeters,Answer.length_unit_na.na,Answer.location,Answer.material,Answer.pattern,Answer.shape,Answer.temperature_mean,Answer.temperature_range,Answer.temperature_unit_c.celsius,Answer.temperature_unit_f.fahrenheit,Answer.temperature_unit_k.kelvin,Answer.temperature_unit_na.na,Answer.texture,Answer.value_mean,Answer.value_range,Answer.value_unit_d.US dollars,Answer.value_unit_e.euros,Answer.value_unit_na.na,Answer.value_unit_p.pounds,Answer.weight_mean,Answer.weight_range,Answer.weight_unit_g.grams,Answer.weight_unit_kg.kilograms,Answer.weight_unit_na.na,Answer.weight_unit_o.ounces,Answer.weight_unit_p.pounds,Answer.width_mean,Answer.width_range,Answer.width_unit_cm.centimeters,Answer.width_unit_f.feet,Answer.width_unit_i.inches,Answer.width_unit_m.meters,Answer.width_unit_mm.millimeters,Answer.width_unit_na.na,Answer.height_unit,Answer.length_unit,Answer.temperature_unit,Answer.value_unit,Answer.weight_unit,Answer.width_unit,Answer.texture_cleaned,Answer.colour_cleaned,Answer.material_cleaned,Answer.shape_cleaned,Answer.pattern_cleaned,Answer.location_cleaned,Answer.disposition_cleaned
AUGI5KXORJNJ7,motorcycle,a motor vehicle with two wheels and a strong frame,"Black, red, blue, silver, white, grey, green, orange","Fast, agile, powerful, loud, dangerous (can be), exhilarating, liberating, fuel-efficient (some), nimble","Transportation, sport, recreation, racing, commuting, touring, off-roading, delivering",1.1,0.2,false,false,false,true,false,false,2.2,0.4,false,false,false,true,false,false,"Road, highway, garage, dealership, track, parking lot, trail, city streets","Steel, aluminum, plastic, rubber, leather/vinyl, chrome, glass (lights), various engine components","Solid color, racing stripes, brand logos, graphic decals, checkered (some racing bikes)","Streamlined, sleek, elongated, angular, compact (dirt bike), bulky (cruiser)",30.0,50.0,true,false,false,false,"Smooth (painted metal, plastic), metallic, rubbery (tires, grips), leathery (seat), knobby (dirt bike tires)",10000.0,8000.0,true,false,false,false,200.0,100.0,false,true,false,false,false,0.8,0.2,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white']","['glass', 'leather', 'plastic', 'rubber']",[],[],"['garage', 'highway']","['agile', 'fast', 'powerful']"
A2CRCTC261MOBY,motorcycle,a motor vehicle with two wheels and a strong frame,"Black, red, silver, blue, white.","Durable, fast, water-repellent to some extent.",To transport people.,1.1,0.2,false,false,false,true,false,false,2.1,0.3,false,false,false,true,false,false,"Garage, parking lot, street.","Metal, rubber, plastic, leather.","Plain, striped, flame decals, graphic designs.","Cylindrical tires and handlebars, angular.",60.0,20.0,true,false,false,false,"Smooth bodywork, rough tires, handles.",7500.0,3000.0,true,false,false,false,200.0,50.0,false,true,false,false,false,0.8,0.2,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'red', 'silver', 'white']","['leather', 'metal', 'plastic', 'rubber']",['cylindrical'],['striped'],"['garage', 'street']","['durable', 'fast', 'water-resistant']"
A17IW4DMIZPZMK,airplane,an aircraft that has a fixed wing and is powered by propellers or jets,"White (most common for commercial airliners), silver, blue, red, green, black, yellow, or any custom livery or branding. Military planes often have camouflage colors.","Durable, lightweight (for flight), highly engineered to withstand high altitudes and fast speeds, weather-resistant (with an ability to endure extreme temperatures and wind speeds).","Transport people, cargo, or military supplies. Recreational flying (private or sports aviation) or surveillance (military and government use). Some specialized planes might be used for spraying (agriculture) or fighting wildfires.",15.0,2.0,false,false,false,true,false,false,40.0,2.0,false,false,false,true,false,false,"Airports, hangars, airfields, military bases, or runways.","Aluminum (primary material), composites (carbon fiber or fiberglass), titanium (for high-stress areas like engines), rubber (for seals and tires), and glass (for windows).","Plain (mostly, with airline logos or symbols), striped or painted patterns (especially for airline branding). Military jets often have camouflage patterns.","Cylindrical body, often with wings extending outward. The nose is usually rounded, and the fuselage is long and streamlined for aerodynamics.  Rectangular or triangular wing shapes depending on the design (e.g., delta wing on supersonic jets).",-60.0,5.0,true,false,false,false,"Smooth (on the body and wings for aerodynamic efficiency). The engine housing may have a slightly rougher texture due to the materials and airflow dynamics.  Matte or shiny depending on the finish (commercial planes tend to have a glossy finish, while military or cargo planes may have a matte or camouflaged texture).",120.0,10.0,true,false,false,false,100000.0,10000.0,false,true,false,false,false,35.0,1.5,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'or', 'red', 'silver', 'white', 'yellow']","['glass', 'rubber']","['cylindrical', 'delta', 'rectangle']",['striped'],[],"['durable', 'engineered', 'fast', 'lightweight', 'weather-resistant']"
A1ICJ1X9LX2JH,airplane,an aircraft that has a fixed wing and is powered by propellers or jets,"White, grey, blue, silver.","Durable, aerodynamic, high-speed, engineered for safety",To transport people or cargo through the air over long distances.,12.0,3.0,false,false,false,true,false,false,40.0,10.0,false,false,false,true,false,false,"Airport, runway, hangar, sky.","Metal aluminum alloy, titanium, plastic, composite materials.","Plain, striped, logo or airline branding.","Cylindrical fuselage, rectangular wings, conical nose, rounded windows.",na,na,false,false,false,true,"Smooth exterior, rough tire surfaces.",100000000.0,20000000.0,true,false,false,false,70000.0,20000.0,false,true,false,false,false,35.0,10.0,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,[],"['blue', 'grey', 'silver', 'white']","['metal', 'plastic']","['conical', 'cylindrical', 'rectangle']",['striped'],"['hangar', 'runway', 'sky']","['durable', 'engineered']"
AWVVKWVQIO2Q7,airplane,an aircraft that has a fixed wing and is powered by propellers or jets,"White, silver, blue, red, gray.","Durable, aerodynamic, weather-resistant, engineered for stability.",To transport people or cargo through the air.,12.5,2.0,false,false,false,true,false,false,39.0,10.0,false,false,false,true,false,false,"Airport, hangar, runway, airspace, aircraft carrier","Aluminum, titanium, carbon fiber, composite materials, plastic.","Plain most common, striped, logo-marked, airline livery.","Cylindrical fuselage, flat rectangular wings, streamlined.",na,na,false,false,false,true,"Smooth metal body, ribbed on wings flaps, matte or glossy.",90000000.0,20000000.0,true,false,false,false,42000.0,10000.0,false,true,false,false,false,35.0,8.0,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,[],"['blue', 'grey', 'red', 'silver', 'white']",['plastic'],"['cylindrical', 'rectangle']",['striped'],"['hangar', 'runway']","['durable', 'engineered', 'weather-resistant']"
AU59GP9KMR6CQ,bus,a vehicle carrying many passengers and used for public transport,"Red, blue, green, yellow, white, grey, silver, black, orange","Tough, durable, public, accessible, utilitarian, noisy engine, somewhat confined interior, reliable","Transporting passengers, public transportation, commuting, tourism sightseeing buses, school transport, intercity travel",3.0,0.5,false,false,false,false,true,false,12.0,2.5,false,false,false,false,true,false,"Bus stops, bus terminals, roads, highways, depots, urban areas, rural roads","Steel, aluminum, glass, plastic, rubber, fabric.","Company logos, advertisements, stripes, destination signs .digital displays or printed, route numbers, seating patterns","Rectangular, boxy, elongated, rounded edges, double-decker.",na,na,false,false,false,true,"Smooth metal, glass, slightly textured plastic, rubber on tires, bumpy seats, floor.",300000.0,200000.0,true,false,false,false,15000.0,5000.0,false,true,false,false,false,2.5,0.2,false,false,false,false,true,false,millimeters,millimeters,na,US dollars,kilograms,millimeters,['bumpy'],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber']",['rectangle'],[],[],"['durable', 'noisy', 'public', 'reliable', 'tough', 'utilitarian']"
A2UDF0IM7YU0L0,bus,a vehicle carrying many passengers and used for public transport,"Red, Blue, Yellow, Green, White, Silver, Black, Orange","Plain, striped, or painted with logos",Public transport for passengers,3.5,0.5,false,false,false,false,true,false,13.0,1.0,false,false,false,false,true,false,"Roads, bus stations, depots, transportation hubs","Metal (steel/aluminum), Glass (windows), Plastic (interior), Rubber (tires)","Plain, striped, or painted with logos","Rectangular, sometimes cylindrical",22.5,5.0,true,false,false,false,"Smooth (body), rough (tires/undercarriage)",300000.0,50000.0,true,false,false,false,15000.0,15000.0,false,true,false,false,false,-0.050000000000000044,0.1,false,false,false,false,true,false,millimeters,millimeters,celsius,US dollars,kilograms,millimeters,[],"['black', 'blue', 'green', 'orange', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']",['striped'],[],[]
A15NA3DG8QOZ3S,bus,a vehicle carrying many passengers and used for public transport,"Blue, green, white, yellow, red","Tough, durable, public, accessible, utilitarian, noisy .engine, horn, often crowded, vital for public transport, sometimes prone to breakdowns .","Transporting passengers, public transportation, commuting, intercity travel, school transport, connecting different localities.",3.2,0.5,false,false,false,true,false,false,11.0,3.0,false,false,false,true,false,false,"Bus stops, bus terminals .e.g., Gabtoli, Sayedabad in Dhaka, roads, highways, depots, urban areas, rural roads.","Steel, aluminum, glass, plastic, rubber, fabric/vinyl .seats, wood/plywood","Company logos, route numbers, destination signs .often hand-painted or printed banners, advertisements, stripes, seating patterns .inside. In Bangladesh, often decorative painting or stickers.","Rectangular, boxy, elongated, slightly rounded edges, double-decker .less common in Bangladesh but present in some cities like Dhaka, mini-bus",25.0,na,true,false,false,false,"Smooth .metal, glass, slightly textured .plastic, rubber on tires, interior surfaces, sometimes worn or slightly uneven due to age or use.",50000.0,30000.0,true,false,false,false,13000.0,4000.0,false,true,false,false,false,2.4,0.2,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['blue', 'green', 'red', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber', 'wood']",['rectangle'],[],[],"['durable', 'noisy', 'public', 'tough', 'utilitarian']"
A1FG5WCZ5UTCKE,train,public transport provided by a line of railway cars coupled together and drawn by a locomotive,"Red, blue, silver, yellow, green, white, black, gray","Durable, heavy-duty, powerful, weather-resistant",To transport people or cargo along a railway,4.5,0.5,false,false,false,true,false,false,200.0,100.0,false,false,false,true,false,false,"Train stations, railways, depots, subways, tunnels, urban and rural areas","Metal (steel, aluminum), plastic (interior), glass (windows), rubber (seals and components)","Plain, striped, logo-branded, window-lined","Rectangular, cylindrical (for some high-speed trains), boxy",na,na,false,false,false,true,"Smooth (metal body), rough (wheels, undercarriage)",10000000.0,5000000.0,true,false,false,false,400000.0,100000.0,false,true,false,false,false,3.0,3.0,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle']",['striped'],[],"['durable', 'powerful', 'weather-resistant']"
A14MPSALF624L0,train,public transport provided by a line of railway cars coupled together and drawn by a locomotive,"Various, often combinations of red, blue, green, yellow, white,","Powerful, heavy, robust, durable, reliable .generally, noisy .when moving., fast .especially high-speed trains, long, public.","Transporting passengers, transporting freight goods, long-distance travel, commuting, tourism, connecting cities and regions.",4.0,1.0,false,false,false,true,false,false,200.0,100.0,false,false,false,true,false,false,"Railway tracks, train stations, train depots, rail yards, tunnels, bridges, level crossings, rural landscapes, urban areas.","Steel .main body, wheels, tracks, aluminum .some high-speed trains, interior, glass windows, plastic interior components, seats, rubber .seals, some couplings., fabric","Company logos, stripes, numbering .carriages, locomotive, warning signs, destination signs .digital or printed, door outlines, window grids.","Long, linear, rectangular .carriages, aerodynamic locomotives, high-speed trains, cylindrical .,tanks cars, boxy",20.0,na,true,false,false,false,"Smooth ,metal, painted surfaces, ribbed some freight cars, textured .steps, walkways, rough ,wheels, tracks., glass",5000000.0,10000000.0,true,false,false,false,500000.0,400000.0,false,true,false,false,false,3.0,0.5,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['blue', 'green', 'red', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber']","['car', 'cylindrical', 'rectangle']",[],[],"['durable', 'fast', 'noisy', 'powerful', 'public', 'reliable', 'robust']"
A1Q8AU0JTR3U5N,train,public transport provided by a line of railway cars coupled together and drawn by a locomotive,"Silver, black, white, blue, red, green, yellow","Heavy, powerful, fast, loud, strong, scheduled, efficient, reliable, long","Passenger transport, cargo transport, commuting, long-distance travel, freight hauling, tourism, historical preservation",4.0,1.0,false,false,false,true,false,false,200.0,150.0,false,false,false,true,false,false,"Railway tracks, train station, tunnel, bridge, rail yard, countryside, city","Steel, aluminum, plastic, glass, rubber, various electrical components","Solid colors, stripes, company logos, window rows, door placements, numbering","Elongated, rectangular (cars), cylindrical (locomotive front), sleek, boxy",25.0,30.0,true,false,false,false,"Smooth (metal, painted), metallic, rugged (undercarriage), glass (windows), hard, sometimes gritty (dust)",5000000.0,3000000.0,true,false,false,false,500000.0,300000.0,false,true,false,false,false,3.0,0.5,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['glass', 'plastic', 'rubber']","['car', 'cylindrical', 'rectangle']",[],"['bridge', 'yard']","['efficient', 'fast', 'powerful', 'reliable', 'strong']"
A39XJS4ZMEOWB9,truck,an automotive vehicle suitable for hauling,"Red, blue, white, black, silver, green, yellow, brown, grey","Tough, durable, heavy-duty, powerful, sturdy, resilient, utilitarian, reliable, robust, hard-working","Hauling goods, transporting materials, towing, carrying cargo, delivering, construction work, farming, off-roading, military transport, refuse collection, fire fighting, logging, towing",3.25,0.75,false,false,false,true,false,false,8.0,3.5,false,false,false,true,false,false,"Highways, roads, construction sites, loading docks, industrial areas, farms, shipping yards, garages, parking lots, mines, forests","Steel, aluminum, plastic, rubber, glass, chrome, fabric (interior)","Stripes (company logos, racing stripes), checkered (some utility vehicles), solid colors, camouflage (military), reflective tape, diamond plate (bed)","Boxy, rectangular, large, elongated, angular",90.0,30.0,true,false,false,false,"Smooth (painted metal), rough (tires, bed liner), metallic, glassy (windows), rubbery (tires, seals), gritty (dirt/dust)",60000.0,60000.0,true,false,false,false,8500.0,5500.0,false,true,false,false,false,2.5,0.5,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'grey', 'red', 'seal brown', 'silver', 'white', 'yellow']","['fabric', 'glass', 'plastic', 'rubber']",['rectangle'],[],[],"['durable', 'powerful', 'reliable', 'resilient', 'robust', 'sturdy', 'tough', 'utilitarian']"
A17IW4DMIZPZMK,truck,an automotive vehicle suitable for hauling,"Red, blue, silver, black, white, yellow, green, and occasionally custom colors (e.g., orange, grey).","Durable, tough, heavy-duty, rugged (able to withstand heavy loads, tough weather, and rough handling).","To haul goods, transport heavy materials, deliver packages, or serve in construction, logistics, emergency response, or military contexts.",2.0,0.2,false,false,false,true,false,false,7.0,1.0,false,false,false,true,false,false,"Garage, construction sites, highways, parking lots, warehouses, delivery areas, or loading docks.","Metal (primarily steel or aluminum for the frame and body), plastic (for interior components, dashboard, lights), rubber (for tires), and glass (for windows).","Plain (mostly), though many trucks have striped or branded logos on them. Some trucks might feature camouflage or graphic designs.","Rectangular (e.g., standard box truck or semi-truck), with various configurations of flatbed, cargo, or cab shapes.",30.0,10.0,true,false,false,false,"Smooth (on the exterior body), rough (on wheels, tires, or sometimes on a flatbed surface), and some may have grippy textures for traction purposes.",50000.0,5000.0,true,false,false,false,3500.0,500.0,false,true,false,false,false,2.5,0.4,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'grey', 'orange', 'red', 'silver', 'white', 'yellow']","['glass', 'metal', 'plastic', 'rubber']","['rectangle', 'rectangular cuboid']",['striped'],['garage'],"['durable', 'tough']"
