experiment_type,model,concept,file,total_rows,failed_rows,failure_rate
context,deepseekr1llama_70b_distill,hot dog,hot dog.json,20,0,0.0
context,deepseekr1llama_70b_distill,dog,dog.json,20,0,0.0
context,deepseekr1llama_70b_distill,cat,cat.json,20,0,0.0
context,deepseekr1llama_70b_distill,elephant,elephant.json,20,0,0.0
context,deepseekr1llama_70b_distill,cow,cow.json,20,0,0.0
context,deepseekr1llama_70b_distill,bus,bus.json,20,0,0.0
context,deepseekr1llama_70b_distill,laptop,laptop.json,20,0,0.0
context,deepseekr1llama_70b_distill,toaster,toaster.json,20,0,0.0
context,deepseekr1llama_70b_distill,stop sign,stop sign.json,20,0,0.0
context,deepseekr1llama_70b_distill,bear,bear.json,20,0,0.0
context,deepseekr1llama_70b_distill,remote,remote.json,20,0,0.0
context,deepseekr1llama_70b_distill,sink,sink.json,20,0,0.0
context,deepseekr1llama_70b_distill,airplane,airplane.json,20,0,0.0
context,deepseekr1llama_70b_distill,vase,vase.json,20,0,0.0
context,deepseekr1llama_70b_distill,parking meter,parking meter.json,20,0,0.0
context,deepseekr1llama_70b_distill,carrot,carrot.json,20,0,0.0
context,deepseekr1llama_70b_distill,pizza,pizza.json,20,0,0.0
context,deepseekr1llama_70b_distill,bed,bed.json,20,0,0.0
context,deepseekr1llama_70b_distill,truck,truck.json,20,0,0.0
context,deepseekr1llama_70b_distill,train,train.json,20,0,0.0
context,deepseekr1llama_70b_distill,handbag,handbag.json,20,0,0.0
context,deepseekr1llama_70b_distill,bottle,bottle.json,20,0,0.0
context,deepseekr1llama_70b_distill,teddy bear,teddy bear.json,20,0,0.0
context,deepseekr1llama_70b_distill,tennis racket,tennis racket.json,1,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_scenario_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_weight_mouse_weight_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_value_mouse_monetary_value_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_width_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_texture_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_value_mouse_monetary_value_US dollars.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_length_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_height_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_height_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_location_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_weight_mouse_weight_grams.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_width_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_length_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_pattern_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_weight_mouse_weight_kilograms.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_length_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_colour_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_shape_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_width_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_height_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_temperature_mouse_temperature_kelvin.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_value_mouse_monetary_value_euros.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_temperature_mouse_temperature_celsius.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_width_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_context_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_height_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_disposition_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_width_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_temperature_mouse_temperature_fahrenheit.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_length_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_function_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_length_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_size_mouse_height_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,1_material_mouse.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,mouse,20_weight_mouse_weight_ounces.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_disposition_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_weight_potted plant_weight_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_height_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_width_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_width_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_shape_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_length_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_length_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_location_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_length_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_function_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_weight_potted plant_weight_kilograms.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_scenario_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_colour_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_width_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_value_potted plant_monetary_value_euros.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_value_potted plant_monetary_value_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_temperature_potted plant_temperature_fahrenheit.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_length_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_height_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_value_potted plant_monetary_value_US dollars.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_height_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_temperature_potted plant_temperature_kelvin.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_weight_potted plant_weight_grams.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_material_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_pattern_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_height_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_width_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_width_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_length_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_weight_potted plant_weight_ounces.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_size_potted plant_height_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_context_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,20_temperature_potted plant_temperature_celsius.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,potted plant,1_texture_potted plant.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_weight_boat_weight_grams.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_height_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_height_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_width_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_scenario_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_weight_boat_weight_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_height_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_height_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_temperature_boat_temperature_celsius.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_shape_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_location_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_texture_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_temperature_boat_temperature_fahrenheit.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_colour_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_value_boat_monetary_value_euros.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_length_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_width_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_weight_boat_weight_ounces.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_value_boat_monetary_value_US dollars.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_width_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_temperature_boat_temperature_kelvin.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_material_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_context_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_length_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_height_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_pattern_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_function_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_length_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_length_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,1_disposition_boat.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_width_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_weight_boat_weight_kilograms.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_length_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_value_boat_monetary_value_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,boat,20_size_boat_width_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_length_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_context_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_shape_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_texture_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_scenario_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_width_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_weight_sports ball_weight_kilograms.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_temperature_sports ball_temperature_kelvin.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_length_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_temperature_sports ball_temperature_celsius.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_value_sports ball_monetary_value_US dollars.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_colour_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_weight_sports ball_weight_grams.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_material_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_pattern_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_length_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_location_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_width_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_length_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_height_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_height_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_height_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_width_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_temperature_sports ball_temperature_fahrenheit.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_value_sports ball_monetary_value_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_width_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_disposition_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_weight_sports ball_weight_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_weight_sports ball_weight_ounces.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,1_function_sports ball.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_height_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_value_sports ball_monetary_value_euros.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_width_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_length_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,sports ball,20_size_sports ball_height_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_disposition_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_weight_refrigerator_weight_kilograms.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_length_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_weight_refrigerator_weight_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_height_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_length_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_width_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_width_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_scenario_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_length_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_length_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_height_feet.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_material_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_pattern_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_value_refrigerator_monetary_value_US dollars.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_height_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_height_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_weight_refrigerator_weight_ounces.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_texture_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_value_refrigerator_monetary_value_euros.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_temperature_refrigerator_temperature_fahrenheit.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_temperature_refrigerator_temperature_celsius.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_value_refrigerator_monetary_value_pounds.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_length_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_weight_refrigerator_weight_grams.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_location_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_width_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_width_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_context_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_temperature_refrigerator_temperature_kelvin.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_shape_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_colour_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_height_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,20_size_refrigerator_width_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,refrigerator,1_function_refrigerator.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_height_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_weight_wine glass_weight_grams.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_height_meters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,1_disposition_wine glass.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_length_centimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_length_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_height_inches.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_temperature_wine glass_temperature_kelvin.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,1_texture_wine glass.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,1_shape_wine glass.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_width_millimeters.json,20,0,0.0
avg,phi3mini_4k_instruct_q4,wine glass,20_size_wine glass_length_meters.json,20,0,0.0
