client,concept,domain,measurement,dimension,format,response,model_name,condition,response_ok_syntax,response_ok_semantics,response_error_type
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is a characteristic that helps identify and distinguish different potted plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant as it can describe the visual appearance of the potted plant, especially when it comes to the pot or plant itself.""
  },
  ""location"": {
    ""value"": true,",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour helps in identifying and distinguishing potted plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant as it reflects the type of container and arrangement of the plant.""
  },
  """,phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""The colour of a potted plant is relevant as it helps in identification, aesthetic appreciation, and can indicate the plant's health.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant's foliage and pot is relevant for identification and can influence aesthetic appeal and",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""The colour of a potted plant helps in its identification and can indicate its health status.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant, including the shape of its leaves and stems, is a distinguishing feature.""
  },
  ""location"": {
    ""value"": true,",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is a universal descriptor that helps identify and distinguish potted plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant contributes to its overall aesthetic and can influence how it fits in a given space.""
  },
  ""location"": {
    ""value"": true",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is a universally relevant property as it helps in identifying and categorizing potted plants, and it can also provide information about the plant's health and variety.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": """,phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""The colour of a potted plant is a relevant descriptor as it helps in identification and aesthetic appreciation.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape contributes to the visual characterization of a potted plant and its suitability for indoor aesthetics.""
  },
  ""location"":",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour helps in identifying and categorizing potted plants, as well as setting aesthetic expectations.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape can influence the plant's growth and the potted plant's visual appeal.""
  },
  ""location"": {
    ""value"": true,",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is a universally relevant descriptor that helps in identifying and categorizing potted plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant can indicate its growth pattern and may also",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is universally relevant across all concepts as it helps identify and categorize objects.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is universally relevant across all concepts as it describes the form or structure of an object",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is a universally relevant descriptor for potted plants, as it helps in identifying and distinguishing them.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant as it can indicate the type of plant",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is a universally relevant descriptor for plants, as it helps in their identification and appreciation.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant is relevant as it can indicate the",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour helps in identifying and distinguishing the potted plant, which is relevant for aesthetic and identification purposes.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant as it contributes to the visual",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is universally relevant across all concepts and helps in identifying and distinguishing potted plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is universally relevant across all concepts and helps in understanding the appearance and structure of the potted plant.""
  },
  ""location"": {
    ""value"": true",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""The colour of a potted plant is relevant as it is a distinguishing feature that helps in identifying and selecting plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant is relevant as it",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is a fundamental characteristic that defines its design and functionality on water.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of a boat, as a small vessel for travel on water, is central to its identity and purpose.""
  },
  ""size"": {
    ""value"": true,
    ""reason"": ""Size is relevant for understanding the capacity",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is relevant as it affects its stability, buoyancy, and maneuverability on water.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""The material from which a boat is made influences its durability, weight, and suitability for various water conditions.""
  },
  ""size"": {
    ""value"": true,
    ""reason",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is relevant as it affects its buoyancy and maneuverability on water.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Materials used in constructing a boat are relevant as they determine the boat's durability, weight, and suitability for water travel.""
  },
  ""size"": {
    ""value"": true,
   ",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is relevant as it affects its buoyancy, stability, and performance on water.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""The material is relevant as it influences the boat's durability, weight, and suitability for different water conditions.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": """,phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant as it describes the physical form of the boat, which is important for understanding its design and functionality.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""Function describes what the boat is used for, which is central to its identity as a small vessel for travel on water.""
  },
  ""size"": {
    ""value"": true,
    ""reason"": ""Size",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is crucial in determining its buoyancy, maneuverability, and overall function.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material is a key descriptor as it affects the boat's durability, weight, and suitability for different water conditions.""
  },
  ""function"": {
    ""value"": true,
   ",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is crucial for its buoyancy and functionality on water.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""The material of a boat affects its durability, weight, and suitability for different water conditions.""
  },
  ""disposition"": {
    ""value"": true,
    ""reason"": ""Disposition can indicate the current status or",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat with description: (which is a small vessel for travel on water)"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is crucial for its buoyancy and maneuverability on water.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""Understanding the function of a boat is essential as it is designed for travel on water.""
  },
  ""size"": {
    ""value"": true,
   ",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat with description: (which is a small vessel for travel on water)"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is universally relevant across all concepts as it helps to identify and distinguish objects, including boats, in various contexts.""
  },
  ""size"": {
    ""value"": true,
    ""reason"": ""Size is relevant for boats as it can indicate the boat's capacity and the type of water it can navigate on, such as small boats for shallow waters",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat with description: (which is a small vessel for travel on water)"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is universally relevant as it helps to distinguish and understand the form of the boat.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is always relevant as it helps contextualize the presence or use of any boat.""
  },
  ""function"": {
    ""value"": true,
    ""reason"":",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is essential for its functionality and stability in water.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material is a fundamental property that determines the boat's durability, weight, and overall performance.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of a boat is crucial for understanding its purpose",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,boat,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""boat with description: (which is a small vessel for travel on water)"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a boat is crucial for its buoyancy and navigation on water.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""The material from which a boat is made affects its durability, weight, and suitability for different water conditions.""
  },
  ""function"": {
    ""value"": true",phi3mini_4k_instruct_q4,context,,,No syntax
