object_name,object_description,url,n_boxes,len_min,len_max,len_mean,len_std,wid_min,wid_max,wid_mean,wid_std,hei_min,hei_max,hei_mean,hei_std,len_min_mm,len_min_cm,len_min_ft,len_min_in,len_max_mm,len_max_cm,len_max_ft,len_max_in,len_mean_mm,len_mean_cm,len_mean_ft,len_mean_in,len_std_mm,len_std_cm,len_std_ft,len_std_in,wid_min_mm,wid_min_cm,wid_min_ft,wid_min_in,wid_max_mm,wid_max_cm,wid_max_ft,wid_max_in,wid_mean_mm,wid_mean_cm,wid_mean_ft,wid_mean_in,wid_std_mm,wid_std_cm,wid_std_ft,wid_std_in,hei_min_mm,hei_min_cm,hei_min_ft,hei_min_in,hei_max_mm,hei_max_cm,hei_max_ft,hei_max_in,hei_mean_mm,hei_mean_cm,hei_mean_ft,hei_mean_in,hei_std_mm,hei_std_cm,hei_std_ft,hei_std_in
boat,a small vessel for travel on water,https://behavior.stanford.edu/knowledgebase/synsets/boat.n.01/,2,2.15,3.06,2.605,0.455,0.77,0.79,0.78,0.01,0.42,0.65,0.535,0.115,2150.0,215.0,7.05380577425,84.64566929099999,3060.0,306.0,10.039370078700001,120.47244094439999,2605.0,260.5,8.546587926475,102.55905511769998,455.0,45.5,1.4927821522250002,17.9133858267,770.0,77.0,2.52624671915,30.314960629799998,790.0,79.0,2.59186351705,31.1023622046,780.0,78.0,2.5590551181000003,30.7086614172,10.0,1.0,0.032808398950000005,0.3937007874,420.0,42.0,1.3779527559,16.535433070799996,650.0,65.0,2.13254593175,25.590551181,535.0,53.5,1.755249343825,21.0629921259,115.0,11.5,0.37729658792500004,4.5275590551
bottle,a glass or plastic vessel used for storing drinks or other liquids,https://behavior.stanford.edu/knowledgebase/synsets/bottle__of__water.n.01/index.html,15,0.05,0.11,0.076,0.0166533279957291,0.05,0.11,0.0746666666666667,0.0162754074876449,0.15,0.36,0.244666666666667,0.073199878566991,50.0,5.0,0.16404199475000003,1.968503937,110.0,11.0,0.36089238845000005,4.3307086614,76.0,7.6,0.24934383202000002,2.99212598424,16.6533279957291,1.66533279957291,0.05463690287290842,0.6556428344749009,50.0,5.0,0.16404199475000003,1.968503937,110.0,11.0,0.36089238845000005,4.3307086614,74.6666666666667,7.46666666666667,0.24496937882666678,2.9396325459200012,16.275407487644898,1.62754074876449,0.0533970061928471,0.6407640743141652,150.0,15.0,0.49212598425,5.905511810999999,360.0,36.0,1.1811023622,14.173228346399998,244.666666666667,24.4666666666667,0.8027121609766679,9.632545931720012,73.199878566991,7.3199878566991,0.24015708191173954,2.881884982940874
bowl,a round vessel that is open at the top and is used chiefly for holding food or liquids,https://behavior.stanford.edu/knowledgebase/synsets/bowl.n.01/index.html,47,0.09,0.49,0.186382978723404,0.0779368410935281,0.09,0.44,0.191702127659575,0.0792603882428621,0.03,0.18,0.0795744680851064,0.0363761347301848,90.0,9.0,0.29527559055,3.5433070865999996,490.0,49.0,1.60761154855,19.291338582599998,186.382978723404,18.638297872340402,0.6114927123446801,7.33791254813616,77.93684109352809,7.793684109352809,0.2556982975499224,3.0683795705990686,90.0,9.0,0.29527559055,3.5433070865999996,440.0,44.0,1.4435695538000002,17.3228346456,191.702127659575,19.1702127659575,0.6289439883819167,7.547327860583,79.2603882428621,7.926038824286211,0.26004064384037096,3.120487726084451,30.0,3.0,0.09842519685000001,1.1811023621999999,180.0,18.0,0.5905511811,7.086614173199999,79.5744680851064,7.957446808510641,0.26107108951702135,3.132853074204256,36.3761347301848,3.63761347301848,0.11934427404868536,1.4321312885842241
dining table,a table at which meals are served,https://behavior.stanford.edu/knowledgebase/synsets/breakfast_table.n.01/index.html,32,0.49,1.5,0.7946875,0.215333816071118,0.7,3.5,1.4834375,0.682351675160067,0.29,1.05,0.6428125,0.182521135334377,490.0,49.0,1.60761154855,19.291338582599998,1500.0,150.0,4.9212598425000005,59.055118109999995,794.6875,79.46875,2.6072424540578125,31.28690944869375,215.333816071118,21.5333816071118,0.7064757745087161,8.477709294104592,700.0,70.0,2.2965879265,27.559055117999996,3500.0,350.0,11.4829396325,137.79527559,1483.4375,148.34375,4.866920931739062,58.403051180868744,682.351675160067,68.2351675160067,2.2386865982852284,26.86423917942274,290.0,28.999999999999996,0.95144356955,11.417322834599998,1050.0,105.0,3.4448818897500004,41.338582677,642.8125,64.28125,2.1089648950046875,25.307578740056247,182.521135334377,18.2521135334377,0.5988226224857183,7.185871469828618
broccoli,plant with dense clusters of tight green flower buds,https://behavior.stanford.edu/knowledgebase/synsets/broccoli.n.02/index.html,1,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.0,0.02,0.02,0.02,0.0,30.0,3.0,0.09842519685000001,1.1811023621999999,30.0,3.0,0.09842519685000001,1.1811023621999999,30.0,3.0,0.09842519685000001,1.1811023621999999,0.0,0.0,0.0,0.0,30.0,3.0,0.09842519685000001,1.1811023621999999,30.0,3.0,0.09842519685000001,1.1811023621999999,30.0,3.0,0.09842519685000001,1.1811023621999999,0.0,0.0,0.0,0.0,20.0,2.0,0.06561679790000001,0.7874015748,20.0,2.0,0.06561679790000001,0.7874015748,20.0,2.0,0.06561679790000001,0.7874015748,0.0,0.0,0.0,0.0
cake,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat",https://behavior.stanford.edu/knowledgebase/synsets/cake.n.03/,72,0.01,0.28,0.0918055555555556,0.0535756575344336,0.03,0.28,0.105416666666667,0.0713352316725598,0.0,0.12,0.0345833333333333,0.0286229074926593,10.0,1.0,0.032808398950000005,0.3937007874,280.0,28.000000000000004,0.9186351706000001,11.0236220472,91.8055555555556,9.18055555555556,0.3011993292493057,3.614391950991668,53.5756575344336,5.35756575344336,0.1757731546398271,2.109277855677925,30.0,3.0,0.09842519685000001,1.1811023621999999,280.0,28.000000000000004,0.9186351706000001,11.0236220472,105.41666666666701,10.5416666666667,0.34585520559791777,4.150262467175013,71.3352316725598,7.13352316725598,0.2340394739904018,2.808473687884821,0.0,0.0,0.0,0.0,120.0,12.0,0.39370078740000003,4.7244094487999995,34.5833333333333,3.45833333333333,0.11346237970208323,1.3615485564249985,28.622907492659298,2.86229074926593,0.09390717681281105,1.1268861217537325
car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,https://behavior.stanford.edu/knowledgebase/synsets/car.n.01/,2,5.05,5.05,5.05,0.0,2.15,2.15,2.15,0.0,1.54,1.54,1.54,0.0,5050.0,505.0,16.56824146975,198.81889763699996,5050.0,505.0,16.56824146975,198.81889763699996,5050.0,505.0,16.56824146975,198.81889763699996,0.0,0.0,0.0,0.0,2150.0,215.0,7.05380577425,84.64566929099999,2150.0,215.0,7.05380577425,84.64566929099999,2150.0,215.0,7.05380577425,84.64566929099999,0.0,0.0,0.0,0.0,1540.0,154.0,5.0524934383,60.629921259599996,1540.0,154.0,5.0524934383,60.629921259599996,1540.0,154.0,5.0524934383,60.629921259599996,0.0,0.0,0.0,0.0
carrot,deep orange edible root of the cultivated carrot plant,https://behavior.stanford.edu/knowledgebase/synsets/carrot.n.03/index.html,3,0.09,0.25,0.173333333333333,0.0654896090146283,0.03,0.04,0.0333333333333333,0.0047140452079103,0.02,0.04,0.03,0.0081649658092772,90.0,9.0,0.29527559055,3.5433070865999996,250.0,25.0,0.82020997375,9.842519685,173.333333333333,17.3333333333333,0.5686789151333322,6.824146981599987,65.4896090146283,6.548960901462831,0.21486092196314419,2.5783310635577297,30.0,3.0,0.09842519685000001,1.1811023621999999,40.0,4.0,0.13123359580000002,1.5748031496,33.3333333333333,3.33333333333333,0.10936132983333323,1.3123359579999985,4.7140452079103,0.47140452079103,0.015466027584945682,0.18559233101934816,20.0,2.0,0.06561679790000001,0.7874015748,40.0,4.0,0.13123359580000002,1.5748031496,30.0,3.0,0.09842519685000001,1.1811023621999999,8.1649658092772,0.81649658092772,0.0267879455683876,0.3214553468206512
chair,"a seat for one person, with a support for the back",https://behavior.stanford.edu/knowledgebase/synsets/chair.n.01/,176,0.29,1.33,0.629488636363636,0.157502777343346,0.28,1.85,0.604488636363636,0.182783931952343,0.37,1.3,0.852102272727273,0.132079567941306,290.0,28.999999999999996,0.95144356955,11.417322834599998,1330.0,133.0,4.36351706035,52.3622047242,629.4886363636359,62.9488636363636,2.0652514316309647,24.783017179571573,157.502777343346,15.7502777343346,0.5167413954813517,6.20089674577622,280.0,28.000000000000004,0.9186351706000001,11.0236220472,1850.0,185.0,6.069553805750001,72.834645669,604.488636363636,60.448863636363605,1.983230434255965,23.798765211071576,182.78393195234298,18.2783931952343,0.5996848161142122,7.196217793370545,370.0,37.0,1.21391076115,14.566929133799999,1300.0,130.0,4.2650918635,51.181102362,852.102272727273,85.2102272727273,2.795611130983808,33.54733357180569,132.07956794130598,13.207956794130599,0.43333191581619973,5.199982989794396
clock,a timepiece that shows the time of day,https://behavior.stanford.edu/knowledgebase/synsets/clock.n.01/,14,0.02,0.27,0.112857142857143,0.0960229564388918,0.11,0.62,0.34,0.16261259835221,0.05,0.96,0.427142857142857,0.268472626203135,20.0,2.0,0.06561679790000001,0.7874015748,270.0,27.0,0.8858267716500001,10.6299212598,112.857142857143,11.2857142857143,0.37026621672142906,4.443194600657148,96.02295643889181,9.60229564388918,0.31503594632056336,3.78043135584676,110.0,11.0,0.36089238845000005,4.3307086614,620.0,62.0,2.0341207349,24.409448818799998,340.0,34.0,1.1154855643000001,13.3858267716,162.61259835221,16.261259835221,0.5335059001035419,6.402070801242502,50.0,5.0,0.16404199475000003,1.968503937,960.0,96.0,3.1496062992000002,37.795275590399996,427.142857142857,42.7142857142857,1.401387326578571,16.81664791894285,268.472626203135,26.8472626203135,0.8808157027626677,10.569788433152011
book,a written work or composition that has been published (printed on pages bound together),https://behavior.stanford.edu/knowledgebase/synsets/comic_book.n.01/index.html,5,0.19,0.2,0.192,0.004,0.13,0.13,0.13,0.0,0.02,0.02,0.02,0.0,190.0,19.0,0.62335958005,7.4803149605999995,200.0,20.0,0.6561679790000001,7.874015748,192.0,19.2,0.62992125984,7.55905511808,4.0,0.4,0.01312335958,0.15748031495999998,130.0,13.0,0.42650918635,5.1181102362,130.0,13.0,0.42650918635,5.1181102362,130.0,13.0,0.42650918635,5.1181102362,0.0,0.0,0.0,0.0,20.0,2.0,0.06561679790000001,0.7874015748,20.0,2.0,0.06561679790000001,0.7874015748,20.0,2.0,0.06561679790000001,0.7874015748,0.0,0.0,0.0,0.0
cup,a small open container usually used for drinking,https://behavior.stanford.edu/knowledgebase/synsets/cup.n.01/,36,0.05,0.19,0.0963888888888889,0.0267864785311314,0.05,0.19,0.0861111111111111,0.0273127745628486,0.04,0.21,0.0880555555555556,0.0351045616254295,50.0,5.0,0.16404199475000003,1.968503937,190.0,19.0,0.62335958005,7.4803149605999995,96.3888888888889,9.63888888888889,0.3162365121013889,3.7948381452166666,26.7864785311314,2.6786478531131404,0.08788214741149691,1.0545857689379627,50.0,5.0,0.16404199475000003,1.968503937,190.0,19.0,0.62335958005,7.4803149605999995,86.1111111111111,8.611111111111109,0.2825167687361111,3.3902012248333326,27.3127745628486,2.73127745628486,0.08960884042893487,1.0753060851472183,40.0,4.0,0.13123359580000002,1.5748031496,210.0,21.0,0.68897637795,8.267716535399998,88.0555555555556,8.805555555555559,0.2888961796430557,3.466754155716668,35.1045616254295,3.51045616254295,0.11517244627719515,1.3820693553263417
donut,a small ring-shaped friedcake,https://behavior.stanford.edu/knowledgebase/synsets/doughnut.n.02/index.html,2,0.07,0.1,0.085,0.015,0.07,0.1,0.085,0.015,0.03,0.05,0.04,0.01,70.0,7.000000000000001,0.22965879265000003,2.7559055118,100.0,10.0,0.32808398950000006,3.937007874,85.0,8.5,0.27887139107500003,3.3464566929,15.0,1.5,0.049212598425000004,0.5905511810999999,70.0,7.000000000000001,0.22965879265000003,2.7559055118,100.0,10.0,0.32808398950000006,3.937007874,85.0,8.5,0.27887139107500003,3.3464566929,15.0,1.5,0.049212598425000004,0.5905511810999999,30.0,3.0,0.09842519685000001,1.1811023621999999,50.0,5.0,0.16404199475000003,1.968503937,40.0,4.0,0.13123359580000002,1.5748031496,10.0,1.0,0.032808398950000005,0.3937007874
refrigerator,white goods in which food can be stored at low temperatures,https://behavior.stanford.edu/knowledgebase/synsets/electric_refrigerator.n.01/index.html,14,0.45,0.93,0.662142857142857,0.119712666201115,0.36,1.79,0.793571428571428,0.371129687438177,0.9,2.23,1.62928571428571,0.466927101770016,450.0,45.0,1.47637795275,17.716535433,930.0,93.0,3.05118110235,36.6141732282,662.142857142857,66.21428571428571,2.1723847019035714,26.06861642284285,119.712666201115,11.9712666201115,0.39275809120943617,4.713097094513234,360.0,36.0,1.1811023622,14.173228346399998,1790.0,179.0,5.872703412050001,70.4724409446,793.571428571428,79.3571428571428,2.603580802389284,31.242969628671403,371.129687438177,37.112968743817696,1.2176170847660515,14.611405017192615,900.0,90.0,2.9527559055,35.433070866,2230.0,223.0,7.3162729658500005,87.79527559019999,1629.28571428571,162.928571428571,5.345425571782129,64.14510686138554,466.927101770016,46.6927101770016,1.5319130635437936,18.382956762525524
fork,cutlery used for serving and eating food,https://behavior.stanford.edu/knowledgebase/synsets/fork.n.01/,10,0.15,0.45,0.244,0.0957287835501946,0.02,0.04,0.032,0.0074833147735478,0.0,0.03,0.015,0.0080622577482985,150.0,15.0,0.49212598425,5.905511810999999,450.0,45.0,1.47637795275,17.716535433,244.0,24.4,0.80052493438,9.60629921256,95.72878355019459,9.57287835501946,0.3140708121712982,3.7688497460555777,20.0,2.0,0.06561679790000001,0.7874015748,40.0,4.0,0.13123359580000002,1.5748031496,32.0,3.2,0.10498687664,1.2598425196799998,7.4833147735478,0.74833147735478,0.024551557655898514,0.29461869187078216,0.0,0.0,0.0,0.0,30.0,3.0,0.09842519685000001,1.1811023621999999,15.0,1.5,0.049212598425000004,0.5905511810999999,8.0622577482985,0.8062257748298499,0.026450976864390588,0.317411722372687
remote,a device that can be used to control a machine or apparatus from a distance,https://behavior.stanford.edu/knowledgebase/synsets/gaming_controller.n.01/index.html,1,0.12,0.12,0.12,0.0,0.18,0.18,0.18,0.0,0.06,0.06,0.06,0.0,120.0,12.0,0.39370078740000003,4.7244094487999995,120.0,12.0,0.39370078740000003,4.7244094487999995,120.0,12.0,0.39370078740000003,4.7244094487999995,0.0,0.0,0.0,0.0,180.0,18.0,0.5905511811,7.086614173199999,180.0,18.0,0.5905511811,7.086614173199999,180.0,18.0,0.5905511811,7.086614173199999,0.0,0.0,0.0,0.0,60.0,6.0,0.19685039370000001,2.3622047243999997,60.0,6.0,0.19685039370000001,2.3622047243999997,60.0,6.0,0.19685039370000001,2.3622047243999997,0.0,0.0,0.0,0.0
hair drier,a hand-held electric blower that can blow warm air onto the hair and is used for styling hair,https://behavior.stanford.edu/knowledgebase/synsets/hand_blower.n.01/index.html,2,0.18,0.26,0.22,0.04,0.18,0.25,0.215,0.035,0.06,0.11,0.085,0.025,180.0,18.0,0.5905511811,7.086614173199999,260.0,26.0,0.8530183727,10.2362204724,220.0,22.0,0.7217847769000001,8.6614173228,40.0,4.0,0.13123359580000002,1.5748031496,180.0,18.0,0.5905511811,7.086614173199999,250.0,25.0,0.82020997375,9.842519685,215.0,21.5,0.705380577425,8.464566929099998,35.0,3.5000000000000004,0.11482939632500001,1.3779527559,60.0,6.0,0.19685039370000001,2.3622047243999997,110.0,11.0,0.36089238845000005,4.3307086614,85.0,8.5,0.27887139107500003,3.3464566929,25.0,2.5,0.08202099737500002,0.9842519685
hot dog,a frankfurter served hot on a bun,https://behavior.stanford.edu/knowledgebase/synsets/hotdog.n.02/index.html,1,0.08,0.08,0.08,0.0,0.16,0.16,0.16,0.0,0.05,0.05,0.05,0.0,80.0,8.0,0.26246719160000004,3.1496062992,80.0,8.0,0.26246719160000004,3.1496062992,80.0,8.0,0.26246719160000004,3.1496062992,0.0,0.0,0.0,0.0,160.0,16.0,0.5249343832000001,6.2992125984,160.0,16.0,0.5249343832000001,6.2992125984,160.0,16.0,0.5249343832000001,6.2992125984,0.0,0.0,0.0,0.0,50.0,5.0,0.16404199475000003,1.968503937,50.0,5.0,0.16404199475000003,1.968503937,50.0,5.0,0.16404199475000003,1.968503937,0.0,0.0,0.0,0.0
keyboard,device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like,https://behavior.stanford.edu/knowledgebase/synsets/keyboard.n.01/index.html,10,0.12,0.18,0.144,0.0237486841740758,0.34,0.5,0.448,0.0446766158073774,0.02,0.03,0.023,0.0045825756949558,120.0,12.0,0.39370078740000003,4.7244094487999995,180.0,18.0,0.5905511811,7.086614173199999,144.0,14.399999999999999,0.47244094488,5.669291338559999,23.7486841740758,2.3748684174075803,0.07791563049206301,0.9349875659047561,340.0,34.0,1.1154855643000001,13.3858267716,500.0,50.0,1.6404199475,19.68503937,448.0,44.800000000000004,1.4698162729600002,17.63779527552,44.676615807377395,4.467661580737739,0.1465768235144314,1.7589218821731767,20.0,2.0,0.06561679790000001,0.7874015748,30.0,3.0,0.09842519685000001,1.1811023621999999,23.0,2.3,0.075459317585,0.9055118110199999,4.5825756949558,0.45825756949557994,0.01503469716186834,0.18041636594242003
knife,edge tool used as a cutting instrument that has a pointed blade with a sharp edge and a handle,https://behavior.stanford.edu/knowledgebase/synsets/knife.n.01/,22,0.14,0.38,0.259090909090909,0.0674138568780451,0.01,0.08,0.0354545454545455,0.0169832197202449,0.0,0.03,0.0145454545454545,0.0078202956973114,140.0,14.000000000000002,0.45931758530000005,5.5118110236,380.0,38.0,1.2467191601,14.960629921199999,259.090909090909,25.9090909090909,0.8500357909772724,10.200429491727268,67.41385687804511,6.74138568780451,0.22117407112131054,2.654088853455726,10.0,1.0,0.032808398950000005,0.3937007874,80.0,8.0,0.26246719160000004,3.1496062992,35.4545454545455,3.5454545454545503,0.1163206871863638,1.3958482462363655,16.9832197202449,1.69832197202449,0.055719224803730205,0.6686306976447624,0.0,0.0,0.0,0.0,30.0,3.0,0.09842519685000001,1.1811023621999999,14.5454545454545,1.4545454545454501,0.04772130756363622,0.5726556907636345,7.8202956973113995,0.7820295697311399,0.025657138114436085,0.307885657373233
