,model,definition,family,metric,spearman_rho,kendall_tau,theoretical_order
22,groq_llama-4-maverick-17b-128e-instruct,cambridge,anticipation,arousal_mean,1.0,1.0,interest < anticipation < vigilance
23,groq_llama-4-maverick-17b-128e-instruct,cambridge,anticipation,valence_mean,-0.5,-0.33333333333333337,interest < anticipation < vigilance
24,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,anger,activity_mean,0.8660254037844387,0.816496580927726,annoyance < anger < rage
25,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,anger,arousal_mean,1.0,1.0,annoyance < anger < rage
26,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,anger,valence_mean,-1.0,-1.0,annoyance < anger < rage
27,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,joy,activity_mean,1.0,1.0,serenity < joy < ecstasy
28,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,joy,arousal_mean,1.0,1.0,serenity < joy < ecstasy
29,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,joy,valence_mean,0.8660254037844387,0.816496580927726,serenity < joy < ecstasy
30,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,sadness,activity_mean,1.0,1.0,pensiveness < sadness < grief
31,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,sadness,arousal_mean,1.0,1.0,pensiveness < sadness < grief
32,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,sadness,valence_mean,-1.0,-1.0,pensiveness < sadness < grief
33,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,fear,activity_mean,0.5,0.33333333333333337,apprehension < fear < terror
34,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,fear,arousal_mean,1.0,1.0,apprehension < fear < terror
35,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,fear,valence_mean,-1.0,-1.0,apprehension < fear < terror
36,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,trust,activity_mean,1.0,1.0,acceptance < trust < admiration
37,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,trust,arousal_mean,1.0,1.0,acceptance < trust < admiration
38,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,trust,valence_mean,0.5,0.33333333333333337,acceptance < trust < admiration
39,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,disgust,activity_mean,1.0,1.0,boredom < disgust < loathing
40,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,disgust,arousal_mean,1.0,1.0,boredom < disgust < loathing
41,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,disgust,valence_mean,-1.0,-1.0,boredom < disgust < loathing
42,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,surprise,activity_mean,0.8660254037844387,0.816496580927726,distraction < surprise < amazement
43,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,surprise,arousal_mean,0.8660254037844387,0.816496580927726,distraction < surprise < amazement
44,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,surprise,valence_mean,1.0,1.0,distraction < surprise < amazement
45,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,anticipation,activity_mean,0.5,0.33333333333333337,interest < anticipation < vigilance
46,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,anticipation,arousal_mean,0.8660254037844387,0.816496580927726,interest < anticipation < vigilance
47,groq_llama-4-maverick-17b-128e-instruct,sentiwordnet,anticipation,valence_mean,-0.5,-0.33333333333333337,interest < anticipation < vigilance
48,groq_llama-4-scout-17b-16e-instruct,cambridge,anger,activity_mean,1.0,1.0,annoyance < anger < rage
49,groq_llama-4-scout-17b-16e-instruct,cambridge,anger,arousal_mean,0.8660254037844387,0.816496580927726,annoyance < anger < rage
50,groq_llama-4-scout-17b-16e-instruct,cambridge,anger,valence_mean,-0.8660254037844387,-0.816496580927726,annoyance < anger < rage
51,groq_llama-4-scout-17b-16e-instruct,cambridge,joy,activity_mean,1.0,1.0,serenity < joy < ecstasy
52,groq_llama-4-scout-17b-16e-instruct,cambridge,joy,arousal_mean,1.0,1.0,serenity < joy < ecstasy
53,groq_llama-4-scout-17b-16e-instruct,cambridge,joy,valence_mean,1.0,1.0,serenity < joy < ecstasy
54,groq_llama-4-scout-17b-16e-instruct,cambridge,sadness,activity_mean,1.0,1.0,pensiveness < sadness < grief
55,groq_llama-4-scout-17b-16e-instruct,cambridge,sadness,arousal_mean,1.0,1.0,pensiveness < sadness < grief
56,groq_llama-4-scout-17b-16e-instruct,cambridge,sadness,valence_mean,-1.0,-1.0,pensiveness < sadness < grief
57,groq_llama-4-scout-17b-16e-instruct,cambridge,fear,activity_mean,1.0,1.0,apprehension < fear < terror
58,groq_llama-4-scout-17b-16e-instruct,cambridge,fear,arousal_mean,1.0,1.0,apprehension < fear < terror
59,groq_llama-4-scout-17b-16e-instruct,cambridge,fear,valence_mean,-1.0,-1.0,apprehension < fear < terror
60,groq_llama-4-scout-17b-16e-instruct,cambridge,trust,activity_mean,0.8660254037844387,0.816496580927726,acceptance < trust < admiration
61,groq_llama-4-scout-17b-16e-instruct,cambridge,trust,arousal_mean,0.5,0.33333333333333337,acceptance < trust < admiration
62,groq_llama-4-scout-17b-16e-instruct,cambridge,trust,valence_mean,0.8660254037844387,0.816496580927726,acceptance < trust < admiration
63,groq_llama-4-scout-17b-16e-instruct,cambridge,disgust,activity_mean,1.0,1.0,boredom < disgust < loathing
64,groq_llama-4-scout-17b-16e-instruct,cambridge,disgust,arousal_mean,1.0,1.0,boredom < disgust < loathing
65,groq_llama-4-scout-17b-16e-instruct,cambridge,disgust,valence_mean,-0.8660254037844387,-0.816496580927726,boredom < disgust < loathing
66,groq_llama-4-scout-17b-16e-instruct,cambridge,surprise,activity_mean,1.0,1.0,distraction < surprise < amazement
67,groq_llama-4-scout-17b-16e-instruct,cambridge,surprise,arousal_mean,1.0,1.0,distraction < surprise < amazement
68,groq_llama-4-scout-17b-16e-instruct,cambridge,surprise,valence_mean,1.0,1.0,distraction < surprise < amazement
69,groq_llama-4-scout-17b-16e-instruct,cambridge,anticipation,activity_mean,0.5,0.33333333333333337,interest < anticipation < vigilance
70,groq_llama-4-scout-17b-16e-instruct,cambridge,anticipation,arousal_mean,0.5,0.33333333333333337,interest < anticipation < vigilance
71,groq_llama-4-scout-17b-16e-instruct,cambridge,anticipation,valence_mean,-1.0,-1.0,interest < anticipation < vigilance
72,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,anger,activity_mean,1.0,1.0,annoyance < anger < rage
73,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,anger,arousal_mean,1.0,1.0,annoyance < anger < rage
74,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,anger,valence_mean,-0.8660254037844387,-0.816496580927726,annoyance < anger < rage
75,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,joy,activity_mean,1.0,1.0,serenity < joy < ecstasy
76,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,joy,arousal_mean,1.0,1.0,serenity < joy < ecstasy
77,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,joy,valence_mean,0.5,0.33333333333333337,serenity < joy < ecstasy
78,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,sadness,activity_mean,1.0,1.0,pensiveness < sadness < grief
79,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,sadness,arousal_mean,1.0,1.0,pensiveness < sadness < grief
80,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,sadness,valence_mean,-1.0,-1.0,pensiveness < sadness < grief
81,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,fear,activity_mean,1.0,1.0,apprehension < fear < terror
82,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,fear,arousal_mean,1.0,1.0,apprehension < fear < terror
83,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,fear,valence_mean,-0.8660254037844387,-0.816496580927726,apprehension < fear < terror
84,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,trust,activity_mean,1.0,1.0,acceptance < trust < admiration
85,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,trust,arousal_mean,1.0,1.0,acceptance < trust < admiration
86,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,trust,valence_mean,,,acceptance < trust < admiration
87,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,disgust,activity_mean,1.0,1.0,boredom < disgust < loathing
88,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,disgust,arousal_mean,1.0,1.0,boredom < disgust < loathing
89,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,disgust,valence_mean,-0.8660254037844387,-0.816496580927726,boredom < disgust < loathing
90,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,surprise,activity_mean,1.0,1.0,distraction < surprise < amazement
91,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,surprise,arousal_mean,0.8660254037844387,0.816496580927726,distraction < surprise < amazement
92,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,surprise,valence_mean,1.0,1.0,distraction < surprise < amazement
93,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,anticipation,activity_mean,0.5,0.33333333333333337,interest < anticipation < vigilance
94,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,anticipation,arousal_mean,0.0,0.0,interest < anticipation < vigilance
95,groq_llama-4-scout-17b-16e-instruct,sentiwordnet,anticipation,valence_mean,-1.0,-1.0,interest < anticipation < vigilance
96,openai_gpt-5,cambridge,anger,activity_mean,1.0,1.0,annoyance < anger < rage
97,openai_gpt-5,cambridge,anger,arousal_mean,1.0,1.0,annoyance < anger < rage
98,openai_gpt-5,cambridge,anger,valence_mean,-1.0,-1.0,annoyance < anger < rage
99,openai_gpt-5,cambridge,joy,activity_mean,1.0,1.0,serenity < joy < ecstasy
100,openai_gpt-5,cambridge,joy,arousal_mean,1.0,1.0,serenity < joy < ecstasy
101,openai_gpt-5,cambridge,joy,valence_mean,1.0,1.0,serenity < joy < ecstasy
102,openai_gpt-5,cambridge,sadness,activity_mean,1.0,1.0,pensiveness < sadness < grief
103,openai_gpt-5,cambridge,sadness,arousal_mean,1.0,1.0,pensiveness < sadness < grief
104,openai_gpt-5,cambridge,sadness,valence_mean,-1.0,-1.0,pensiveness < sadness < grief
105,openai_gpt-5,cambridge,fear,activity_mean,1.0,1.0,apprehension < fear < terror
106,openai_gpt-5,cambridge,fear,arousal_mean,1.0,1.0,apprehension < fear < terror
107,openai_gpt-5,cambridge,fear,valence_mean,-1.0,-1.0,apprehension < fear < terror
108,openai_gpt-5,cambridge,trust,activity_mean,0.5,0.33333333333333337,acceptance < trust < admiration
109,openai_gpt-5,cambridge,trust,arousal_mean,0.5,0.33333333333333337,acceptance < trust < admiration
110,openai_gpt-5,cambridge,trust,valence_mean,0.5,0.33333333333333337,acceptance < trust < admiration
111,openai_gpt-5,cambridge,disgust,activity_mean,1.0,1.0,boredom < disgust < loathing
112,openai_gpt-5,cambridge,disgust,arousal_mean,1.0,1.0,boredom < disgust < loathing
113,openai_gpt-5,cambridge,disgust,valence_mean,-1.0,-1.0,boredom < disgust < loathing
114,openai_gpt-5,cambridge,surprise,activity_mean,1.0,1.0,distraction < surprise < amazement
115,openai_gpt-5,cambridge,surprise,arousal_mean,1.0,1.0,distraction < surprise < amazement
116,openai_gpt-5,cambridge,surprise,valence_mean,1.0,1.0,distraction < surprise < amazement
117,openai_gpt-5,cambridge,anticipation,activity_mean,0.5,0.33333333333333337,interest < anticipation < vigilance
118,openai_gpt-5,cambridge,anticipation,arousal_mean,1.0,1.0,interest < anticipation < vigilance
119,openai_gpt-5,cambridge,anticipation,valence_mean,-0.5,-0.33333333333333337,interest < anticipation < vigilance
120,openai_gpt-5,sentiwordnet,anger,activity_mean,1.0,1.0,annoyance < anger < rage
121,openai_gpt-5,sentiwordnet,anger,arousal_mean,1.0,1.0,annoyance < anger < rage
122,openai_gpt-5,sentiwordnet,anger,valence_mean,-1.0,-1.0,annoyance < anger < rage
123,openai_gpt-5,sentiwordnet,joy,activity_mean,1.0,1.0,serenity < joy < ecstasy
124,openai_gpt-5,sentiwordnet,joy,arousal_mean,1.0,1.0,serenity < joy < ecstasy
125,openai_gpt-5,sentiwordnet,joy,valence_mean,1.0,1.0,serenity < joy < ecstasy
126,openai_gpt-5,sentiwordnet,sadness,activity_mean,1.0,1.0,pensiveness < sadness < grief
127,openai_gpt-5,sentiwordnet,sadness,arousal_mean,0.5,0.33333333333333337,pensiveness < sadness < grief
128,openai_gpt-5,sentiwordnet,sadness,valence_mean,-1.0,-1.0,pensiveness < sadness < grief
129,openai_gpt-5,sentiwordnet,fear,activity_mean,1.0,1.0,apprehension < fear < terror
130,openai_gpt-5,sentiwordnet,fear,arousal_mean,1.0,1.0,apprehension < fear < terror
131,openai_gpt-5,sentiwordnet,fear,valence_mean,-1.0,-1.0,apprehension < fear < terror
132,openai_gpt-5,sentiwordnet,trust,activity_mean,1.0,1.0,acceptance < trust < admiration
133,openai_gpt-5,sentiwordnet,trust,arousal_mean,1.0,1.0,acceptance < trust < admiration
134,openai_gpt-5,sentiwordnet,trust,valence_mean,1.0,1.0,acceptance < trust < admiration
135,openai_gpt-5,sentiwordnet,disgust,activity_mean,1.0,1.0,boredom < disgust < loathing
136,openai_gpt-5,sentiwordnet,disgust,arousal_mean,1.0,1.0,boredom < disgust < loathing
137,openai_gpt-5,sentiwordnet,disgust,valence_mean,-1.0,-1.0,boredom < disgust < loathing
138,openai_gpt-5,sentiwordnet,surprise,activity_mean,1.0,1.0,distraction < surprise < amazement
139,openai_gpt-5,sentiwordnet,surprise,arousal_mean,1.0,1.0,distraction < surprise < amazement
140,openai_gpt-5,sentiwordnet,surprise,valence_mean,1.0,1.0,distraction < surprise < amazement
141,openai_gpt-5,sentiwordnet,anticipation,activity_mean,1.0,1.0,interest < anticipation < vigilance
142,openai_gpt-5,sentiwordnet,anticipation,arousal_mean,1.0,1.0,interest < anticipation < vigilance
143,openai_gpt-5,sentiwordnet,anticipation,valence_mean,-0.5,-0.33333333333333337,interest < anticipation < vigilance
